Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,asymmetric,0.61,0.434663213
75% Corpus,5,asymmetric,0.91,0.439885905
75% Corpus,5,asymmetric,symmetric,0.508307226
75% Corpus,6,0.01,0.01,0.459819219
75% Corpus,6,0.01,0.31,0.46582836
75% Corpus,6,0.01,0.61,0.477967666
75% Corpus,6,0.01,0.91,0.484801241
75% Corpus,6,0.01,symmetric,0.473373093
75% Corpus,6,0.31,0.01,0.477997306
75% Corpus,6,0.31,0.31,0.435598977
75% Corpus,6,0.31,0.61,0.435318337
75% Corpus,6,0.31,0.91,0.500939138
75% Corpus,6,0.31,symmetric,0.505060974
75% Corpus,6,0.61,0.01,0.477786613
75% Corpus,6,0.61,0.31,0.473004746
75% Corpus,6,0.61,0.61,0.467729959
75% Corpus,6,0.61,0.91,0.488215377
75% Corpus,6,0.61,symmetric,0.481791828
75% Corpus,6,0.91,0.01,0.491863387
75% Corpus,6,0.91,0.31,0.480559976
75% Corpus,6,0.91,0.61,0.476654851
75% Corpus,6,0.91,0.91,0.47308527
75% Corpus,6,0.91,symmetric,0.482324594
75% Corpus,6,symmetric,0.01,0.481785891
75% Corpus,6,symmetric,0.31,0.497072524
75% Corpus,6,symmetric,0.61,0.507264074
75% Corpus,6,symmetric,0.91,0.512395448
75% Corpus,6,symmetric,symmetric,0.490013306
75% Corpus,6,asymmetric,0.01,0.520620722
75% Corpus,6,asymmetric,0.31,0.48923154
75% Corpus,6,asymmetric,0.61,0.432889094
75% Corpus,6,asymmetric,0.91,0.464565824
75% Corpus,6,asymmetric,symmetric,0.541946515
75% Corpus,7,0.01,0.01,0.474950439
75% Corpus,7,0.01,0.31,0.481558726
75% Corpus,7,0.01,0.61,0.434632643
75% Corpus,7,0.01,0.91,0.477691952
75% Corpus,7,0.01,symmetric,0.452913052
75% Corpus,7,0.31,0.01,0.473029236
75% Corpus,7,0.31,0.31,0.462797783
75% Corpus,7,0.31,0.61,0.46087387
75% Corpus,7,0.31,0.91,0.492530236
75% Corpus,7,0.31,symmetric,0.461912102
75% Corpus,7,0.61,0.01,0.481478263
75% Corpus,7,0.61,0.31,0.469562731
75% Corpus,7,0.61,0.61,0.481888951
75% Corpus,7,0.61,0.91,0.482286587
75% Corpus,7,0.61,symmetric,0.481185422
75% Corpus,7,0.91,0.01,0.497729496
75% Corpus,7,0.91,0.31,0.487934765
75% Corpus,7,0.91,0.61,0.487396215
75% Corpus,7,0.91,0.91,0.484466157
75% Corpus,7,0.91,symmetric,0.498904846
75% Corpus,7,symmetric,0.01,0.458804889
75% Corpus,7,symmetric,0.31,0.45704671
75% Corpus,7,symmetric,0.61,0.464026305
75% Corpus,7,symmetric,0.91,0.447122495
75% Corpus,7,symmetric,symmetric,0.450722224
75% Corpus,7,asymmetric,0.01,0.502054471
75% Corpus,7,asymmetric,0.31,0.454106659
75% Corpus,7,asymmetric,0.61,0.472659368
75% Corpus,7,asymmetric,0.91,0.434043574
75% Corpus,7,asymmetric,symmetric,0.47907305
75% Corpus,8,0.01,0.01,0.469624615
75% Corpus,8,0.01,0.31,0.428134118
75% Corpus,8,0.01,0.61,0.474671222
75% Corpus,8,0.01,0.91,0.387460614
75% Corpus,8,0.01,symmetric,0.464387124
75% Corpus,8,0.31,0.01,0.47388337
75% Corpus,8,0.31,0.31,0.454455938
75% Corpus,8,0.31,0.61,0.487178778
75% Corpus,8,0.31,0.91,0.468959692
75% Corpus,8,0.31,symmetric,0.490776061
75% Corpus,8,0.61,0.01,0.483724428
75% Corpus,8,0.61,0.31,0.476196529
75% Corpus,8,0.61,0.61,0.474879578
75% Corpus,8,0.61,0.91,0.505934861
75% Corpus,8,0.61,symmetric,0.487330481
75% Corpus,8,0.91,0.01,0.500606951
75% Corpus,8,0.91,0.31,0.491650132
75% Corpus,8,0.91,0.61,0.491916148
75% Corpus,8,0.91,0.91,0.470062135
75% Corpus,8,0.91,symmetric,0.49378582
75% Corpus,8,symmetric,0.01,0.472459503
75% Corpus,8,symmetric,0.31,0.473570996
75% Corpus,8,symmetric,0.61,0.459749493
75% Corpus,8,symmetric,0.91,0.440551651
75% Corpus,8,symmetric,symmetric,0.480463378
75% Corpus,8,asymmetric,0.01,0.499996134
75% Corpus,8,asymmetric,0.31,0.494708232
75% Corpus,8,asymmetric,0.61,0.461770478
75% Corpus,8,asymmetric,0.91,0.439219836
75% Corpus,8,asymmetric,symmetric,0.512728762
75% Corpus,9,0.01,0.01,0.469325749
75% Corpus,9,0.01,0.31,0.506037798
75% Corpus,9,0.01,0.61,0.480358965
75% Corpus,9,0.01,0.91,0.435233452
75% Corpus,9,0.01,symmetric,0.462019361
75% Corpus,9,0.31,0.01,0.475935818
75% Corpus,9,0.31,0.31,0.500593431
75% Corpus,9,0.31,0.61,0.525325098
75% Corpus,9,0.31,0.91,0.516792083
75% Corpus,9,0.31,symmetric,0.502530529
75% Corpus,9,0.61,0.01,0.490997103
75% Corpus,9,0.61,0.31,0.490133769
75% Corpus,9,0.61,0.61,0.453211138
75% Corpus,9,0.61,0.91,0.515019868
75% Corpus,9,0.61,symmetric,0.486274894
75% Corpus,9,0.91,0.01,0.502984697
75% Corpus,9,0.91,0.31,0.498730864
75% Corpus,9,0.91,0.61,0.478056216
75% Corpus,9,0.91,0.91,0.481806449
75% Corpus,9,0.91,symmetric,0.503206782
75% Corpus,9,symmetric,0.01,0.481806835
75% Corpus,9,symmetric,0.31,0.506649998
75% Corpus,9,symmetric,0.61,0.483520264
75% Corpus,9,symmetric,0.91,0.477406722
75% Corpus,9,symmetric,symmetric,0.480442954
75% Corpus,9,asymmetric,0.01,0.463353153
75% Corpus,9,asymmetric,0.31,0.510270835
75% Corpus,9,asymmetric,0.61,0.464920926
75% Corpus,9,asymmetric,0.91,0.407638212
75% Corpus,9,asymmetric,symmetric,0.496001277
75% Corpus,10,0.01,0.01,0.458714345
75% Corpus,10,0.01,0.31,0.472735868
75% Corpus,10,0.01,0.61,0.461496512
75% Corpus,10,0.01,0.91,0.447377552
75% Corpus,10,0.01,symmetric,0.444533295
75% Corpus,10,0.31,0.01,0.497388806
75% Corpus,10,0.31,0.31,0.474711846
75% Corpus,10,0.31,0.61,0.496211564
75% Corpus,10,0.31,0.91,0.476752241
75% Corpus,10,0.31,symmetric,0.479183514
75% Corpus,10,0.61,0.01,0.487546667
75% Corpus,10,0.61,0.31,0.489169248
75% Corpus,10,0.61,0.61,0.465395033
75% Corpus,10,0.61,0.91,0.524640029
75% Corpus,10,0.61,symmetric,0.479945321
75% Corpus,10,0.91,0.01,0.498263505
75% Corpus,10,0.91,0.31,0.503777402
75% Corpus,10,0.91,0.61,0.471775592
75% Corpus,10,0.91,0.91,0.470831164
75% Corpus,10,0.91,symmetric,0.497588332
75% Corpus,10,symmetric,0.01,0.469364541
75% Corpus,10,symmetric,0.31,0.483423713
75% Corpus,10,symmetric,0.61,0.473288058
75% Corpus,10,symmetric,0.91,0.448791373
75% Corpus,10,symmetric,symmetric,0.464509834
75% Corpus,10,asymmetric,0.01,0.479876491
75% Corpus,10,asymmetric,0.31,0.484774513
75% Corpus,10,asymmetric,0.61,0.475380551
75% Corpus,10,asymmetric,0.91,0.481859864
75% Corpus,10,asymmetric,symmetric,0.489282696
100% Corpus,2,0.01,0.01,0.423443468
100% Corpus,2,0.01,0.31,0.420829264
100% Corpus,2,0.01,0.61,0.420829264
100% Corpus,2,0.01,0.91,0.420829264
100% Corpus,2,0.01,symmetric,0.420829264
100% Corpus,2,0.31,0.01,0.441130722
100% Corpus,2,0.31,0.31,0.420829264
100% Corpus,2,0.31,0.61,0.420829264
100% Corpus,2,0.31,0.91,0.420829264
100% Corpus,2,0.31,symmetric,0.420829264
100% Corpus,2,0.61,0.01,0.446587168
100% Corpus,2,0.61,0.31,0.437210167
100% Corpus,2,0.61,0.61,0.437210167
100% Corpus,2,0.61,0.91,0.437210167
100% Corpus,2,0.61,symmetric,0.437210167
100% Corpus,2,0.91,0.01,0.446697115
100% Corpus,2,0.91,0.31,0.436962148
100% Corpus,2,0.91,0.61,0.441130722
100% Corpus,2,0.91,0.91,0.436962148
100% Corpus,2,0.91,symmetric,0.440882703
100% Corpus,2,symmetric,0.01,0.440882703
100% Corpus,2,symmetric,0.31,0.437210167
100% Corpus,2,symmetric,0.61,0.437210167
100% Corpus,2,symmetric,0.91,0.443401014
100% Corpus,2,symmetric,symmetric,0.432899458
100% Corpus,2,asymmetric,0.01,0.434033063
100% Corpus,2,asymmetric,0.31,0.433153352
100% Corpus,2,asymmetric,0.61,0.426708611
100% Corpus,2,asymmetric,0.91,0.426708611
100% Corpus,2,asymmetric,symmetric,0.426708611
100% Corpus,3,0.01,0.01,0.417265901
100% Corpus,3,0.01,0.31,0.411659974
100% Corpus,3,0.01,0.61,0.411720426
100% Corpus,3,0.01,0.91,0.404001716
100% Corpus,3,0.01,symmetric,0.409756487
100% Corpus,3,0.31,0.01,0.406418068
100% Corpus,3,0.31,0.31,0.4152483
100% Corpus,3,0.31,0.61,0.417680262
100% Corpus,3,0.31,0.91,0.42763384
100% Corpus,3,0.31,symmetric,0.421625742
100% Corpus,3,0.61,0.01,0.420664856
100% Corpus,3,0.61,0.31,0.398484436
100% Corpus,3,0.61,0.61,0.401963318
100% Corpus,3,0.61,0.91,0.416425872
100% Corpus,3,0.61,symmetric,0.403115624
100% Corpus,3,0.91,0.01,0.46564368
100% Corpus,3,0.91,0.31,0.449729635
100% Corpus,3,0.91,0.61,0.445135314
100% Corpus,3,0.91,0.91,0.416461546
100% Corpus,3,0.91,symmetric,0.443391274
100% Corpus,3,symmetric,0.01,0.403914084
100% Corpus,3,symmetric,0.31,0.395612191
100% Corpus,3,symmetric,0.61,0.426293183
100% Corpus,3,symmetric,0.91,0.4330498
100% Corpus,3,symmetric,symmetric,0.421625742
100% Corpus,3,asymmetric,0.01,0.432458703
100% Corpus,3,asymmetric,0.31,0.445291365
100% Corpus,3,asymmetric,0.61,0.47392078
100% Corpus,3,asymmetric,0.91,0.474274546
100% Corpus,3,asymmetric,symmetric,0.433068565
100% Corpus,4,0.01,0.01,0.463648338
100% Corpus,4,0.01,0.31,0.455311817
100% Corpus,4,0.01,0.61,0.451764701
100% Corpus,4,0.01,0.91,0.44280042
100% Corpus,4,0.01,symmetric,0.451533697
100% Corpus,4,0.31,0.01,0.466419553
100% Corpus,4,0.31,0.31,0.453403371
100% Corpus,4,0.31,0.61,0.450720482
100% Corpus,4,0.31,0.91,0.420849939
100% Corpus,4,0.31,symmetric,0.453592279
100% Corpus,4,0.61,0.01,0.500397305
100% Corpus,4,0.61,0.31,0.479687038
100% Corpus,4,0.61,0.61,0.473909992
100% Corpus,4,0.61,0.91,0.476106395
100% Corpus,4,0.61,symmetric,0.47667809
100% Corpus,4,0.91,0.01,0.508529651
100% Corpus,4,0.91,0.31,0.496118704
100% Corpus,4,0.91,0.61,0.493951097
100% Corpus,4,0.91,0.91,0.496118704
100% Corpus,4,0.91,symmetric,0.501567353
100% Corpus,4,symmetric,0.01,0.471504798
100% Corpus,4,symmetric,0.31,0.455235017
100% Corpus,4,symmetric,0.61,0.442375716
100% Corpus,4,symmetric,0.91,0.449720971
100% Corpus,4,symmetric,symmetric,0.453403371
100% Corpus,4,asymmetric,0.01,0.464896687
100% Corpus,4,asymmetric,0.31,0.444404913
100% Corpus,4,asymmetric,0.61,0.45293507
100% Corpus,4,asymmetric,0.91,0.472771663
100% Corpus,4,asymmetric,symmetric,0.445490507
100% Corpus,5,0.01,0.01,0.481313904
100% Corpus,5,0.01,0.31,0.458047214
100% Corpus,5,0.01,0.61,0.469935027
100% Corpus,5,0.01,0.91,0.479127815
100% Corpus,5,0.01,symmetric,0.476548922
100% Corpus,5,0.31,0.01,0.481093062
100% Corpus,5,0.31,0.31,0.465223912
100% Corpus,5,0.31,0.61,0.465705842
100% Corpus,5,0.31,0.91,0.475465478
100% Corpus,5,0.31,symmetric,0.470505988
100% Corpus,5,0.61,0.01,0.479782022
100% Corpus,5,0.61,0.31,0.475203252
100% Corpus,5,0.61,0.61,0.47488054
100% Corpus,5,0.61,0.91,0.48272772
100% Corpus,5,0.61,symmetric,0.476783477
100% Corpus,5,0.91,0.01,0.489964417
100% Corpus,5,0.91,0.31,0.484348824
